,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
339,Plume,2.6,2021-02-23,United States,Palo Alto,Industrials,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021,Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,
340,Moglix,2.6,2021-05-17,Singapore,Sigapore,Industrials,"Jungle Ventures, Accel, Venture Highway",2021,Jungle Ventures, Accel, Venture Highway,
341,Axonius,2.6,2021-03-01,United States,New York,Enterprise Tech,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,
342,Xinchao Media,2.0,2018-04-09,China,Chengdu,Media & Entertainment,"JD.com, Baidu, Vision Plus Capital",2018,JD.com, Baidu, Vision Plus Capital,
343,JumpCloud,2.62,2021-09-13,United States,Louisville,Enterprise Tech,"Foundry Group, General Atlantic, BlackRock",2021,Foundry Group, General Atlantic, BlackRock,
344,Unico,2.6,2021-08-03,Brazil,Sao Paulo,Enterprise Tech,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures",2021,Big Bets, General Atlantic, SOFTBANK Latin America Ventures,
345,Bending Spoons,2.55,2024-02-15,Italy,Milan,Consumer & Retail,"Durable Capital Partners, Adjacent, Creator Partners",2024,Durable Capital Partners, Adjacent, Creator Partners,
346,Oura,2.55,2022-04-05,Finland,Oulu,Healthcare & Life Sciences,"Forerunner Ventures, Lifeline Ventures, MSD Capital",2022,Forerunner Ventures, Lifeline Ventures, MSD Capital,
347,JUST Egg,2.59,2017-11-30,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Founders Fund",2017,Khosla Ventures, Horizons Ventures, Founders Fund,
348,Groq,2.5,2021-04-14,United States,Mountain View,Enterprise Tech,"TDK Ventures, Social Capital, D1 Capital Partners",2021,TDK Ventures, Social Capital, D1 Capital Partners,
349,Jetti Resources,2.5,2022-10-24,United States,Boulder,Industrials,"BMW i Ventures, BHP Ventures",2022,BMW i Ventures, BHP Ventures,,
350,Claroty,2.5,2021-06-17,United States,New York,Enterprise Tech,"Bessemer Venture Partners, MoreVC, Team8",2021,Bessemer Venture Partners, MoreVC, Team8,
351,Vista Global,2.5,2017-08-23,United Arab Emirates,Dubai,Industrials,Rhone Capital,2017,Rhone Capital,,,
352,BYTON,2.5,2018-04-20,China,Nanjing,Industrials,"FAW Group, Tencent Holdings, Tus Holdings",2018,FAW Group, Tencent Holdings, Tus Holdings,
353,Side,2.5,2021-03-22,United States,San Francisco,Financial Services,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2021,Coatue Managemeny, Trinity Ventures, Matrix Partners,
354,Infra.Market,2.5,2021-02-25,India,Thane,Industrials,"Accel, Tiger Global Management, Nexus Venture Partners",2021,Accel, Tiger Global Management, Nexus Venture Partners,
355,Varo Bank,2.5,2021-09-09,United States,San Francisco,Financial Services,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2021,Warburg Pincus, The Rise Fund, HarbourVest Partners,
356,Cato Networks,3.0,2020-11-17,Israel,Tel Aviv,Enterprise Tech,"Aspect Ventures, SingTel Innov8, Greylock Partners",2020,Aspect Ventures, SingTel Innov8, Greylock Partners,
357,Sword Health,3.0,2021-11-22,United States,New York,Healthcare & Life Sciences,"Khosla Ventures, Green Innovations, Founders Fund",2021,Khosla Ventures, Green Innovations, Founders Fund,
358,Aura,2.5,2021-06-09,United States,Burlington,Consumer & Retail,"Warburg Pincus, General Catalyst",2021,Warburg Pincus, General Catalyst,,
359,Sysdig,2.5,2021-04-28,United States,San Francisco,Enterprise Tech,"Accel, Bain Capital Ventures, Insight Partners",2021,Accel, Bain Capital Ventures, Insight Partners,
360,Zetwerk,2.8,2021-08-20,India,Bengaluru,Industrials,"Sequoia Capital India, Kae Capital, Accel",2021,Sequoia Capital India, Kae Capital, Accel,
361,Uniphore,2.5,2022-02-16,United States,Palo Alto,Enterprise Tech,"Chiratae Ventures, March Capital Partners, National Grid Partners",2022,Chiratae Ventures, March Capital Partners, National Grid Partners,
362,Somatus,2.5,2022-02-23,United States,McLean,Healthcare & Life Sciences,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2022,The Blue Venture Fund, Flare Capital Partners, Longitude Capital,
363,Immutable,2.5,2022-03-07,Australia,Sydney,Media & Entertainment,"Fabric Ventures, AirTree Ventures, Temasek",2022,Fabric Ventures, AirTree Ventures, Temasek,
364,SiFive,2.5,2022-03-16,United States,San Mateo,Enterprise Tech,"Sutter Hill Ventures, Osage University Partners, Spark Capital",2022,Sutter Hill Ventures, Osage University Partners, Spark Capital,
365,Games24x7,2.5,2022-03-30,India,Mumbai,Media & Entertainment,"Tiger Global Management, The Raine Group, Malabar Investments",2022,Tiger Global Management, The Raine Group, Malabar Investments,
366,Fetch,2.5,2021-03-31,United States,Madison,Consumer & Retail,"Greycroft, Loeb.NYC, DST Global",2021,Greycroft, Loeb.NYC, DST Global,
367,Coda Payments,2.5,2022-04-15,Singapore,Sigapore,Financial Services,"GIC. Apis Partners, Insight Partners",2022,GIC. Apis Partners, Insight Partners,,
368,DriveNets,2.5,2021-01-27,Israel,Ra'anana,Enterprise Tech,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2021,Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners,
369,Hibob,2.45,2021-10-12,Israel,Tel Aviv,Enterprise Tech,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",2021,Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures,
370,Vanta,2.45,2022-06-07,United States,San Francisco,Enterprise Tech,"Craft Ventures, Sequoia Capital, Verissimo Ventures",2022,Craft Ventures, Sequoia Capital, Verissimo Ventures,
371,Uala,2.45,2021-08-13,Argentina,Buenos Aires,Financial Services,"Soros Fund Management, Ribbit Capital, Monashees+",2021,Soros Fund Management, Ribbit Capital, Monashees+,
372,Mobile Premier League,2.45,2021-09-15,India,Bengaluru,Media & Entertainment,"Sequoia Capital India, RTP Global, Go-Ventures",2021,Sequoia Capital India, RTP Global, Go-Ventures,
373,insitro,2.44,2021-03-15,United States,South San Francisco,Healthcare & Life Sciences,"Foresite Capital, ARCH Venture Partners, Third Rock Ventures",2021,Foresite Capital, ARCH Venture Partners, Third Rock Ventures,
374,Cgtz,2.41,2017-02-21,China,Hangzhou,Financial Services,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2017,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,
375,Star Charge,2.41,2021-05-19,China,Changzhou,Industrials,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2021,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,
376,Carbon,2.4,2015-08-20,United States,Redwood City,Industrials,"Google Ventures, Sequoia Capital, Wakefield Group",2015,Google Ventures, Sequoia Capital, Wakefield Group,
377,Rokt,2.4,2021-12-16,United States,New York,Consumer & Retail,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",2021,Square Peg Capital, TDM Growth Partners, Tiger Global Management,
378,Paxos,2.4,2021-04-29,United States,New York,Financial Services,"Liberty City Ventures, RRE Ventures, Mithril Capital Management",2021,Liberty City Ventures, RRE Ventures, Mithril Capital Management,
379,BitSight Technologies,2.4,2021-09-13,United States,Boston,Enterprise Tech,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",2021,Menlo Ventures, GGV Capital, Flybridge Capital Partners,
380,Trumid,2.4,2020-07-15,United States,New York,Financial Services,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2020,T. Rowe Price, Dragoneer Investment Group, BlackRock,
381,ABL Space Systems,2.4,2021-03-25,United States,El Segundo,Industrials,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",2021,T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment,
382,HoneyBook,2.4,2021-05-04,United States,San Francisco,Enterprise Tech,"Norwest Venture Partners, Hillsven Capital, Aleph",2021,Norwest Venture Partners, Hillsven Capital, Aleph,
383,Beta Technologies,2.4,2022-04-19,United States,South Burlington,Industrials,"The Rise Fund, Fidelity Investments. RedBird Capital Partners",2022,The Rise Fund, Fidelity Investments. RedBird Capital Partners,,
384,Project44,2.62,2021-06-01,United States,Chicago,Enterprise Tech,"Emergence Capital Partners, 8VC, Chicago Ventures",2021,Emergence Capital Partners, 8VC, Chicago Ventures,
385,Freenome,2.62,2020-08-26,United States,South San Francisco,Healthcare & Life Sciences,"Andreessen Horowitz, Data Collective, Roche Venture Fund",2020,Andreessen Horowitz, Data Collective, Roche Venture Fund,
386,ManyPets,2.35,2021-06-01,United Kingdom,London,Insurance,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2021,Octopus Ventures, Munich Re Ventures, CommerzVentures,
387,Jobandtalent,2.35,2021-12-01,Spain,Madrid,Enterprise Tech,"Kibo Ventures, SoftBank Group, Atomico",2021,Kibo Ventures, SoftBank Group, Atomico,
388,WEMAKEPRICE,2.34,2015-09-09,South Korea,Seoul,Consumer & Retail,"IMM Investment, NXC",2015,IMM Investment, NXC,,
389,Biren Technology,2.32,2020-08-18,China,Shanghai,Enterprise Tech,"V FUND, IDG Capital, Green Pine Capital Partners",2020,V FUND, IDG Capital, Green Pine Capital Partners,
390,Transcarent,2.2,2022-01-11,United States,San Francisco,Healthcare & Life Sciences,"Alta Partners, General Catalyst, Jove Equity Partners",2022,Alta Partners, General Catalyst, Jove Equity Partners,
391,Voodoo,2.31,2020-08-17,France,Paris,Media & Entertainment,"Tencent Holdings, Goldman Sachs",2020,Tencent Holdings, Goldman Sachs,,
392,Shield AI,2.8,2021-08-24,United States,San Diego,Industrials,"Andreessen Horowitz, Homebrew, Point72 Ventures",2021,Andreessen Horowitz, Homebrew, Point72 Ventures,
393,PhysicsWallah,2.8,2022-06-07,India,Uttar Pradesh,Consumer & Retail,"GSV Ventures, WestBridge Capital",2022,GSV Ventures, WestBridge Capital,,
394,Uptake,2.3,2015-10-27,United States,Chicago,Industrials,"Revolution, New Enterprise Associates, Caterpillar",2015,Revolution, New Enterprise Associates, Caterpillar,
395,Motive,2.85,2019-04-23,United States,San Francisco,Industrials,"Google Ventures, Index Ventures, Scale Venture Partners",2019,Google Ventures, Index Ventures, Scale Venture Partners,
396,Greenlight,2.3,2020-09-24,United States,Atlanta,Financial Services,"Relay Ventures, TTV Capital, Canapi Ventures",2020,Relay Ventures, TTV Capital, Canapi Ventures,
397,MoMo,2.27,2021-12-10,Vietnam,Ho Chi Minh City,Financial Services,"Goodwater Capital, Warburg Pincus, GS Growth",2021,Goodwater Capital, Warburg Pincus, GS Growth,
398,Story Protocol,2.25,2024-08-21,United States,Bellevue,Media & Entertainment,"A16z Crypto, Andreessen Horowitz, Two Small Fish Ventures",2024,A16z Crypto, Andreessen Horowitz, Two Small Fish Ventures,
399,Algolia,2.25,2021-07-28,United States,San Francisco,Enterprise Tech,"Accel, Alven Capital, Storm Ventures",2021,Accel, Alven Capital, Storm Ventures,
400,Pattern,2.25,2021-10-06,United States,Lehi,Consumer & Retail,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners",2021,Knox Lane, Ainge Advisory, Carlson Private Capital Partners,
401,Newfront Insurance,2.2,2022-04-12,United States,San Francisco,Insurance,"Founders Fund, Meritech Capital Partners, GS Growth",2022,Founders Fund, Meritech Capital Partners, GS Growth,
402,NuCom Group,2.2,2018-02-22,Germany,Unterfoehring,Consumer & Retail,General Atlantic,2018,General Atlantic,,,
403,Skydio,2.2,2021-02-25,United States,Redwood City,Industrials,"Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",2021,Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel
404,MUSINSA,2.76,2019-11-11,South Korea,Seoul,Consumer & Retail,Sequoia Capital,2019,Sequoia Capital,,,
405,Current,2.2,2021-04-27,United States,New York,Financial Services,"Expa, QED Investors, Foundation Capital",2021,Expa, QED Investors, Foundation Capital,
406,Bitso,2.2,2021-05-05,Mexico,Mexico City,Financial Services,"Pantera Capital, QED Investors, Coinbase Ventures",2021,Pantera Capital, QED Investors, Coinbase Ventures,
407,Gympass,2.4,2019-06-12,United States,New York,Healthcare & Life Sciences,"General Atlantic, SoftBank Group, Atomico",2019,General Atlantic, SoftBank Group, Atomico,
408,Dialpad,2.2,2020-10-06,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Google Ventures, Section 32",2020,Andreessen Horowitz, Google Ventures, Section 32,
409,G7 Networks,2.2,2022-02-15,China,Beijing,Industrials,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners",2022,Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners,
410,BloomReach,2.2,2022-02-23,United States,Mountain View,Consumer & Retail,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",2022,Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners,
411,Motif FoodWorks,2.2,2021-06-16,United States,Boston,Industrials,"General Atlantic, Breakthrough Energy Ventures, Viking Global Investors",2021,General Atlantic, Breakthrough Energy Ventures, Viking Global Investors,
412,Accelerant,2.4,2022-01-12,United Kingdom,Colchester,Insurance,"Deer Park Road, Altamont Capital Partners, Eldridge",2022,Deer Park Road, Altamont Capital Partners, Eldridge,
413,YITU Technology,2.17,2018-03-08,China,Shanghai,Enterprise Tech,"Sequoia Capital China, Banyan Capital",2018,Sequoia Capital China, Banyan Capital,,
414,Addepar,2.17,2021-06-15,United States,Mountain View,Financial Services,"8VC, D1 Capital Partners, Sway Ventures",2021,8VC, D1 Capital Partners, Sway Ventures,
415,Qualia,2.17,2020-12-21,United States,San Francisco,Financial Services,"8VC, Menlo Ventures, Tiger Global Management",2020,8VC, Menlo Ventures, Tiger Global Management,
416,Neo4j,2.0,2021-06-17,United States,San Mateo,Enterprise Tech,"Eight Roads Ventures, One Peak Partners, Creandum",2021,Eight Roads Ventures, One Peak Partners, Creandum,
417,CloudWalk,2.15,2021-09-08,Brazil,Sao Paulo,Financial Services,"Plug and Play Ventures, Valor Capital Group, DST Global",2021,Plug and Play Ventures, Valor Capital Group, DST Global,
418,Xaira Therapeutics,2.15,2024-04-23,United States,San Francisco,Healthcare & Life Sciences,"ARCH Venture Partners, Foresite Capital, Two Sigma Ventures",2024,ARCH Venture Partners, Foresite Capital, Two Sigma Ventures,
419,CoinDCX,2.15,2021-08-10,India,Maharashtra,Financial Services,"Polychain Capital, Coinbase Ventures, Jump Capital",2021,Polychain Capital, Coinbase Ventures, Jump Capital,
420,Eightfold,2.1,2020-10-27,United States,Santa Clara,Enterprise Tech,"Foundation Capital, Institutional Venture Partners, General Catalyst",2020,Foundation Capital, Institutional Venture Partners, General Catalyst,
421,Urban Company,2.1,2021-04-27,India,Gurgaon,Consumer & Retail,"VY Capital, Accel, Elevation Capital",2021,VY Capital, Accel, Elevation Capital,
422,Moveworks,2.1,2021-06-30,United States,Mountain View,Enterprise Tech,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",2021,Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers,
423,Medable,2.1,2021-10-26,United States,Palo Alto,Healthcare & Life Sciences,"GSR Ventures, Sapphire Ventures, Streamlined Ventures",2021,GSR Ventures, Sapphire Ventures, Streamlined Ventures,
424,GoCardless,2.1,2022-02-08,United Kingdom,London,Financial Services,"Accel, Passion Capital, Balderton Capital",2022,Accel, Passion Capital, Balderton Capital,
425,Aledade,3.5,2021-01-19,United States,Bethesda,Healthcare & Life Sciences,"Venrock, CVF Capital Partners, ARCH Venture Partners",2021,Venrock, CVF Capital Partners, ARCH Venture Partners,
426,A24 Films,3.5,2022-03-09,United States,New York,Media & Entertainment,"Stripes Group, Neuberger Berman",2022,Stripes Group, Neuberger Berman,,
427,Forto,2.1,2021-06-21,Germany,Berlin,Industrials,"Cherry Ventures, Northzone Ventures, Global Founders Capital",2021,Cherry Ventures, Northzone Ventures, Global Founders Capital,
428,Jeeves,2.1,2022-03-14,United States,Orlando,Enterprise Tech,"Tencent Holdings, CRV, Clocktower Technology Ventures",2022,Tencent Holdings, CRV, Clocktower Technology Ventures,
429,Viva Wallet,2.05,2022-12-17,Greece,Athens,Financial Services,"Breyer Capital, Hedosophia",2022,Breyer Capital, Hedosophia,,
430,DeepL,2.0,2023-01-11,Germany,Cologne,Enterprise Tech,"Benchmark, btov Partners, Bessemer Venture Partners",2023,Benchmark, btov Partners, Bessemer Venture Partners,
431,Cognition AI,2.0,2024-04-24,United States,San Francisco,Enterprise Tech,"Founders Fund, Khosla Ventures",2024,Founders Fund, Khosla Ventures,,
432,Babel Finance,2.0,2022-05-25,Hong Kong,Hong Kong,Financial Services,"Dragonfly Capital, BAI Capital, 10T Fund",2022,Dragonfly Capital, BAI Capital, 10T Fund,
433,Trendy Group International,2.0,2012-02-13,Hong Kong,Kowloon,Consumer & Retail,L Capital Partners,2012,L Capital Partners,,,
434,GrubMarket,2.0,2021-09-14,United States,San Francisco,Consumer & Retail,"GGV Capital, BlackRock, ACE & Company",2021,GGV Capital, BlackRock, ACE & Company,
435,BeZero,2.0,2022-11-14,United Kingdom,London,Enterprise Tech,"Contrarian Ventures, Molten Ventures, Hitachi Ventures 32",2022,Contrarian Ventures, Molten Ventures, Hitachi Ventures 32,
436,Cohere,2.0,2023-05-02,Canada,Toronto,Enterprise Tech,"Index Ventures, Salesforce Ventures, Section 32",2023,Index Ventures, Salesforce Ventures, Section 32,
437,GO1,2.0,2021-07-19,Australia,Brisbane,Enterprise Tech,"Y Combinator, M12, SEEK",2021,Y Combinator, M12, SEEK,
438,Clear Street,2.0,2022-04-29,United States,New York,Financial Services,"NextGen Venture Partners, Prysm Capital, McLaren Strategic Ventures",2022,NextGen Venture Partners, Prysm Capital, McLaren Strategic Ventures,
439,Drata,2.0,2021-11-08,United States,San Diego,Enterprise Tech,"Cowboy Ventures, Leaders Fund, GGV Capital",2021,Cowboy Ventures, Leaders Fund, GGV Capital,
440,Mysten Labs,2.0,2022-09-08,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Coinbase Ventures, Circle Ventures",2022,Andreessen Horowitz, Coinbase Ventures, Circle Ventures,
441,Avant,2.0,2012-12-17,United States,Chicago,Financial Services,"RRE Ventures, Tiger Global, August Capital",2012,RRE Ventures, Tiger Global, August Capital,
442,Tubatu.com,2.0,2015-03-09,China,Shenzhen,Consumer & Retail,"Sequoia Capital China, Matrix Partners China, 58.com",2015,Sequoia Capital China, Matrix Partners China, 58.com,
443,BlaBlaCar,2.0,2015-09-16,France,Paris,Consumer & Retail,"Accel Partners, Index Ventures, Insight Venture Partners",2015,Accel Partners, Index Ventures, Insight Venture Partners,
444,HuiMin,2.0,2016-09-05,China,Beijing,Consumer & Retail,"Zheshang Venture Capital, GP Capital, Western Capital Management",2016,Zheshang Venture Capital, GP Capital, Western Capital Management,
445,Preferred Networks,2.0,2018-05-17,Japan,Tokyo,Industrials,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",2018,Toyota Motor Corporation, Mizuho Financial Group, FANUC,
446,Formlabs,2.0,2018-08-01,United States,Somerville,Industrials,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",2018,Pitango Venture Capital, DFJ Growth Fund, Foundry Group,
447,Calm,2.0,2019-02-06,United States,San Francisco,Healthcare & Life Sciences,"Insight Venture Partners, TPG Growth, Sound Ventures",2019,Insight Venture Partners, TPG Growth, Sound Ventures,
448,Kaseya,2.0,2019-03-27,United States,Miami,Enterprise Tech,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",2019,Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund,
449,Mafengwo,2.0,2019-05-23,China,Beijing,Consumer & Retail,"Qiming Venture Partners, Capital Today, General Atlantic",2019,Qiming Venture Partners, Capital Today, General Atlantic,
450,Druva,2.0,2019-06-20,United States,Sunnyvale,Enterprise Tech,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",2019,Nexus Venture Partners, Tenaya Capital, Sequoia Capital,
451,Kujiale,2.0,2019-10-25,China,Hangzhou,Consumer & Retail,"GGV Capital, IDG Capital, Linear Venture",2019,GGV Capital, IDG Capital, Linear Venture,
452,AppsFlyer,2.0,2020-01-21,United States,San Francisco,Enterprise Tech,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",2020,Magma Venture Partners, Pitango Venture Capital, Qumra Capital,
453,Redis,2.0,2020-08-25,United States,Mountain View,Enterprise Tech,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",2020,Viola Ventures, Dell Technologies Capital, Bain Capital Ventures,
454,Xingyun Group,2.0,2020-09-24,China,Shenzhen,Consumer & Retail,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",2020,Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings,
455,Unqork,2.0,2020-10-06,United States,New York,Insurance,"Blackrock, capitalG, World Lab Innovation",2020,Blackrock, capitalG, World Lab Innovation,
456,Virta Health,2.0,2020-12-02,United States,San Francisco,Healthcare & Life Sciences,"Caffeinated Capital, Obvious Ventures, Venrock",2020,Caffeinated Capital, Obvious Ventures, Venrock,
457,ISN,2.0,2020-12-17,United States,Dallas,Industrials,Blackstone,2020,Blackstone,,,
458,Earnix,2.0,2021-02-21,Israel,Giv'atayim,Insurance,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",2021,Jerusalem Venture Partners, Israel Growth Partners, Insight Partners,
459,Clearco,2.0,2021-04-20,Canada,Toronto,Financial Services,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",2021,Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners,
460,Hive,2.0,2021-04-21,United States,San Francisco,Enterprise Tech,"Tomales Bay Capital, Bain & Company, General Catalyst",2021,Tomales Bay Capital, Bain & Company, General Catalyst,
461,Kry,2.0,2021-04-27,Sweden,Stockholm,Healthcare & Life Sciences,"Index Ventures, Creandum, Accel",2021,Index Ventures, Creandum, Accel,
462,Kajabi,2.0,2021-05-04,United States,Irvine,Media & Entertainment,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",2021,Meritech Capital Partners, Tiger Global Management, Spectrum Equity,
463,Ethos,2.7,2021-05-11,United States,San Francisco,Insurance,"Sequoia Capital, Google Ventures, Accel",2021,Sequoia Capital, Google Ventures, Accel,
464,PayFit,2.1,2022-01-06,United Kingdom,London,Enterprise Tech,"Accel, frst, Kima Ventures",2022,Accel, frst, Kima Ventures,
465,Beisen,2.0,2021-05-11,China,Beijing,Enterprise Tech,"Matrix Partners China, Sequoia Capital China, Genesis Capital",2021,Matrix Partners China, Sequoia Capital China, Genesis Capital,
466,Pipe,2.0,2021-05-19,United States,Miami,Financial Services,"next47, MaC Venture Capital, FinVC",2021,next47, MaC Venture Capital, FinVC,
467,Iterable,2.0,2021-06-15,United States,San Francisco,Enterprise Tech,"CRV, Blue Cloud Ventures, Index Ventures",2021,CRV, Blue Cloud Ventures, Index Ventures,
468,Astronergy,1.82,2023-07-25,China,Haining,Industrials,,2023,,,,
469,Bunq,1.8,2021-06-18,Netherlands,Amsterdam,Financial Services,Undisclosed,2021,Undisclosed,,,
470,Quest Global,1.8,2023-08-08,Sigapore,Singapore,Industrials,,2023,,,,
471,Clip,2.0,2021-06-10,Mexico,Mexico City,Financial Services,"Alta Ventures Mexico, General Atlantic, SoftBank Group",2021,Alta Ventures Mexico, General Atlantic, SoftBank Group,
472,Loggi,2.0,2019-06-05,Brazil,Sao Paulo,Industrials,"Qualcomm Ventures, SoftBank Group. Monashees+",2019,Qualcomm Ventures, SoftBank Group. Monashees+,,
473,MURAL,2.0,2021-07-20,United States,San Francisco,Enterprise Tech,"Insight Partners, Tiger Global Management, Gradient Ventures",2021,Insight Partners, Tiger Global Management, Gradient Ventures,
474,OCSiAl,2.0,2019-03-04,Luxembourg,Leudelange,Industrials,"A&NN, Rusnano",2019,A&NN, Rusnano,,
475,Divvy Homes,2.0,2021-08-13,United States,San Francisco,Financial Services,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",2021,Andreessen Horowitz, Caffeinated Capital, SciFi VC,
476,Apeel Sciences,2.0,2020-05-26,United States,Goleta,Consumer & Retail,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",2020,Upfront Ventures, Tao Capital Partners, Andreessen Horowitz,
477,Opay,2.0,2021-08-23,Nigeria,Lagos,Financial Services,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",2021,Sequoia Capital China, Source Code Capital, Redpoint Ventures China,
478,Aviatrix,2.0,2021-09-08,United States,Santa Clara,Enterprise Tech,"Ignition Partners, Formation 8, CRV",2021,Ignition Partners, Formation 8, CRV,
479,SmartNews,2.0,2019-08-05,Japan,Tokyo,Media & Entertainment,"Japan Post Capital, Globis Capital Partners, Atomico",2019,Japan Post Capital, Globis Capital Partners, Atomico,
480,Misfits Market,2.0,2021-04-21,United States,Pennsauken,Consumer & Retail,"Accel, D1 Capita Partners, Greenoaks Capital Management",2021,Accel, D1 Capita Partners, Greenoaks Capital Management,
481,Advance Intelligence Group,2.0,2021-09-23,Singapore,Sigapore,Financial Services,"Vision Plus Capital, GSR Ventures, ZhenFund",2021,Vision Plus Capital, GSR Ventures, ZhenFund,
482,Modern Treasury,2.0,2021-10-06,United States,San Francisco,Financial Services,"Benchmark, Altimeter Capital, Quiet Capital",2021,Benchmark, Altimeter Capital, Quiet Capital,
483,Magic Leap,2.0,2014-10-21,United States,Plantation,Enterprise Tech,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",2014,Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz,
484,ClickHouse,2.0,2021-10-28,United States,Portola Valley,Enterprise Tech,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",2021,Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital,
485,Everlaw,2.0,2020-03-10,United States,Oakland,Enterprise Tech,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",2020,K9 Ventures, Menlo Ventures, Andreessen Horowitz,
486,Zilch,2.0,2021-11-10,United Kingdom,London,Financial Services,"Gauss Ventures, Ventura Capital, dmg ventures",2021,Gauss Ventures, Ventura Capital, dmg ventures,
487,VerbIT,2.0,2021-06-08,United States,New York,Enterprise Tech,"ClalTech, Vertex Ventures, Oryzn Capital",2021,ClalTech, Vertex Ventures, Oryzn Capital,
488,StarkWare,8.0,2021-11-17,Israel,Netanya,Enterprise Tech,"Sequoia Capital, Paradigm, Pantera Capital",2021,Sequoia Capital, Paradigm, Pantera Capital,
489,Netlify,2.0,2021-11-17,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",2021,Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures,
490,LTK,2.0,2021-11-22,United States,Dallas,Media & Entertainment,"SoftBank Group, Maverick Capital",2021,SoftBank Group, Maverick Capital,,
491,Trax,2.0,2019-07-22,Singapore,Sigapore,Consumer & Retail,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",2019,Hopu Investment Management, Boyu Capital, DC Thomson Ventures,
492,Exotec,2.0,2022-01-17,France,Croix,Industrials,"Breega Capital, Iris Capital, 360 Capital Partners",2022,Breega Capital, Iris Capital, 360 Capital Partners,
493,Dremio,2.0,2021-01-06,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",2021,Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners,
