,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
104,Benchling,6.1,2021-04-14,United States,San Francisco,Healthcare & Life Sciences,"Thrive Capital, Benchmark, MenloVentures",2021,Thrive Capital, Benchmark, MenloVentures,
105,Grafana Labs,6.0,2021-03-25,United States,New York,Enterprise Tech,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2021,Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,
106,Applied Intuition,6.0,2020-10-22,United States,Sunnyvale,Industrials,"Andreessen Horowitz, Lux Capital, General Catalyst",2020,Andreessen Horowitz, Lux Capital, General Catalyst,
107,Commure,6.0,2021-09-16,United States,San Francisco,Healthcare & Life Sciences,"General Catalyst, HCA Healthcare",2021,General Catalyst, HCA Healthcare,,
108,Royole Corporation,6.0,2015-08-18,China,Shenzhen,Industrials,"Warmsun Holding, IDG Capital Partners",2015,Warmsun Holding, IDG Capital Partners,,
109,iCapital Network,6.0,2021-07-27,United States,New York,Financial Services,"BlackRock, Blackstone, UBS",2021,BlackRock, Blackstone, UBS,
110,6Sense,5.2,2021-03-30,United States,San Francisco,Enterprise Tech,"Venrock, Battery Ventures, Insight Partners",2021,Venrock, Battery Ventures, Insight Partners,
111,Attentive,5.99,2020-09-23,United States,Hoboken,Enterprise Tech,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020,NextView Ventures, Eniac Ventures, Sequoia Capital,
112,Easyhome,5.78,2018-02-12,China,Beijing,Consumer & Retail,"Alibaba Group, Boyu Capital, Borui Capital",2018,Alibaba Group, Boyu Capital, Borui Capital,
113,Lianjia,5.77,2016-04-07,China,Beijing,Financial Services,"Tencent, Baidu, Huasheng Capital",2016,Tencent, Baidu, Huasheng Capital,
114,Workato,5.7,2021-01-12,United States,Mountain View,Enterprise Tech,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021,Battery Ventures, Storm Ventures, Redpoint Ventures,
115,Back Market,5.7,2021-05-18,France,Paris,Consumer & Retail,"Aglae Ventures, Eurazeo, Daphni",2021,Aglae Ventures, Eurazeo, Daphni,
116,RELEX,5.7,2022-02-17,Finland,Helsinki,Consumer & Retail,"Blackstone, Technology Crossover Ventures, Summit Partners",2022,Blackstone, Technology Crossover Ventures, Summit Partners,
117,The Boring Company,5.7,2022-04-20,United States,Pflugerville,Industrials,"VY Capital, 8VC, Craft Ventures",2022,VY Capital, 8VC, Craft Ventures,
118,Postman,5.6,2020-06-11,United States,San Francisco,Enterprise Tech,"Nexus Venture Partners, CRV, Insight Partners",2020,Nexus Venture Partners, CRV, Insight Partners,
119,FiveTran,5.6,2020-06-30,United States,Oakland,Enterprise Tech,"Matrix Partners, Andreessen Horowitz, General Catalyst",2020,Matrix Partners, Andreessen Horowitz, General Catalyst,
120,ContentSquare,5.6,2021-05-25,France,Paris,Enterprise Tech,"Highland Europe, Eurazeo, Canaan Partners",2021,Highland Europe, Eurazeo, Canaan Partners,
121,Helsing,5.37,2023-09-14,Germany,Munchen,Enterprise Tech,,2023,,,,
122,Trade Republic,5.36,2021-05-20,Germany,Berlin,Financial Services,"Founders Fund. Accel, Creandum",2021,Founders Fund. Accel, Creandum,,
123,Rappi,5.25,2018-08-31,Colombia,Bogota,Consumer & Retail,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2018,DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures
124,Collibra,5.25,2019-01-29,Belgium,Brussels,Enterprise Tech,"Index Ventures, Battery Ventures, ICONIQ Capital",2019,Index Ventures, Battery Ventures, ICONIQ Capital,
125,OneTrust,4.5,2019-07-11,United States,Atlanta,Enterprise Tech,Insight Partners,2019,Insight Partners,,,
126,QuintoAndar,5.1,2019-09-09,Brazil,Campinas,Financial Services,"Kaszek Ventures, General Atlantic, SoftBank Group",2019,Kaszek Ventures, General Atlantic, SoftBank Group,
127,Monzo,5.2,2018-10-31,United Kingdom,London,Financial Services,"Passion Capital, Thrive Capital, Orange Digital Ventures",2018,Passion Capital, Thrive Capital, Orange Digital Ventures,
128,C6 Bank,5.05,2020-12-02,Brazil,Sao Paulo,Financial Services,Credit Suisse,2020,Credit Suisse,,,
129,Safe Superintelligence,5.0,2024-09-04,United States,San Francisco,Enterprise Tech,"Sequoia Capital, DST Global, Andreessen Horowitz",2024,Sequoia Capital, DST Global, Andreessen Horowitz,
130,Redwood Materials,5.0,2021-07-28,United States,Carson City,Industrials,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",2021,Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners,
131,Abnormal Security,5.1,2022-05-10,United States,San Francisco,Enterprise Tech,"Greylock Partners, Insight Partners,Menlo Ventures",2022,Greylock Partners, Insight Partners,Menlo Ventures,
132,Hello TransTech,5.0,2018-06-01,China,Shanghai,Industrials,"Ant Financial Services Group, GGV Capital",2018,Ant Financial Services Group, GGV Capital,,
133,Airwallex,5.5,2019-03-25,Australia,Melbourne,Financial Services,"DST Global, Sequoia Capital China, Tencent Holdings",2019,DST Global, Sequoia Capital China, Tencent Holdings,
134,Mambu,5.5,2021-01-06,Netherlands,Amsterdam,Financial Services,"Runa Capital, Acton Capital Partners, Point Nine Capital",2021,Runa Capital, Acton Capital Partners, Point Nine Capital,
135,Horizon Robotics,5.0,2019-02-27,China,Beijing,Industrials,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2019,Hillhouse Capital Management, Linear Venture, Morningside Venture Capital,
136,Howden Group Holdings,5.0,2020-09-29,United Kingdom,London,Insurance,"General Atlantic, 3i Group, Huagai Capital",2020,General Atlantic, 3i Group, Huagai Capital,
137,SambaNova Systems,5.0,2021-04-13,United States,Palo Alto,Enterprise Tech,"Walden International, Google Ventures, Intel Capital",2021,Walden International, Google Ventures, Intel Capital,
138,ZEPZ,5.0,2021-08-23,United Kingdom,London,Financial Services,"Accel, Technology Crossover Ventures, LeapFrog Investments",2021,Accel, Technology Crossover Ventures, LeapFrog Investments,
139,OakNorth Bank,5.0,2017-10-12,United Kingdom,London,Financial Services,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",2017,Clermont Group, Coltrane Asset Management, Toscafund Asset Management,
140,Moon Active,5.0,2020-01-26,Israel,Tel Aviv,Media & Entertainment,"Insight Partners, Andalusian Capital Partners",2020,Insight Partners, Andalusian Capital Partners,,
141,OfBusiness,5.0,2021-07-31,India,Gurgaon,Industrials,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",2021,Matrix Partners India, Falcon Edge Capital, SoftBank Group,
142,Cockroach Labs,5.0,2021-01-12,United States,New York,Enterprise Tech,"Google Ventures, Benchmark, FirstMark Capital",2021,Google Ventures, Benchmark, FirstMark Capital,
143,Pine Labs,5.0,2020-01-24,India,Noida,Financial Services,"Sequoia Capital India, Temasek, PayPal Ventures",2020,Sequoia Capital India, Temasek, PayPal Ventures,
144,Qonto,5.0,2022-01-11,France,Paris,Enterprise Tech,"Alven Capital, Valar Ventures, Tencent Holdings",2022,Alven Capital, Valar Ventures, Tencent Holdings,
145,Ola Electric Mobility,5.5,2019-07-02,India,Bengaluru,Industrials,"SoftBank Group, Tiger Global Management, Matrix Partners India",2019,SoftBank Group, Tiger Global Management, Matrix Partners India,
146,Icertis,5.0,2019-07-17,United States,Bellevue,Enterprise Tech,"Eight Roads Ventures, Greycroft, Ignition Partners",2019,Eight Roads Ventures, Greycroft, Ignition Partners,
